91523,Adele,"United Kingdom",2008-01-17,2016-02-20
top100-uk,2,2008-01-24,ms048173,"Chasing Pavements"
top100-uk,2,2008-01-31,ms048173,"Chasing Pavements"
top100-uk,3,2008-02-07,ms048173,"Chasing Pavements"
top100-uk,5,2008-02-14,ms048173,"Chasing Pavements"
top100-uk,6,2008-02-21,ms048173,"Chasing Pavements"
top100-uk,6,2008-02-28,ms048173,"Chasing Pavements"
top100-uk,14,2008-03-06,ms048173,"Chasing Pavements"
top100-uk,22,2008-03-13,ms048173,"Chasing Pavements"
top100-uk,18,2008-03-20,ms048173,"Chasing Pavements"
top100-uk,21,2008-03-27,ms048173,"Chasing Pavements"
top100-uk,26,2008-04-03,ms048173,"Chasing Pavements"
top100-uk,33,2008-04-10,ms048173,"Chasing Pavements"
top100-uk,38,2008-04-17,ms048173,"Chasing Pavements"
top100-uk,45,2008-04-24,ms048173,"Chasing Pavements"
top100-uk,44,2008-05-01,ms048173,"Chasing Pavements"
top100-uk,48,2008-05-08,ms048173,"Chasing Pavements"
top100-uk,58,2008-05-15,ms048173,"Chasing Pavements"
top100-uk,69,2008-05-22,ms048173,"Chasing Pavements"
top100-uk,77,2008-05-29,ms048173,"Chasing Pavements"
top100-uk,100,2008-06-05,ms048173,"Chasing Pavements"
